data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-10-13,82,082070,Palermo,Termini Imerese,83.31,79.40
2021-10-13,82,082071,Palermo,Terrasini,78.18,73.67
2021-10-13,82,082072,Palermo,Torretta,74.65,70.17
2021-10-13,82,082073,Palermo,Trabia,76.10,71.93
2021-10-13,82,082074,Palermo,Trappeto,75.12,71.67
2021-10-13,82,082075,Palermo,Ustica,93.88,91.84
2021-10-13,82,082076,Palermo,Valledolmo,80.50,77.01
2021-10-13,82,082077,Palermo,Ventimiglia di Sicilia,88.18,84.85
2021-10-13,82,082078,Palermo,Vicari,80.96,77.57
2021-10-13,82,082079,Palermo,Villabate,72.58,68.10
2021-10-13,82,082080,Palermo,Villafrati,88.61,85.14
2021-10-13,88,088001,Ragusa,Acate,72.08,66.05
2021-10-13,88,088002,Ragusa,Chiaramonte Gulfi,79.85,76.27
2021-10-13,88,088003,Ragusa,Comiso,79.96,75.77
2021-10-13,88,088004,Ragusa,Giarratana,90.88,86.97
2021-10-13,88,088005,Ragusa,Ispica,79.68,75.48
2021-10-13,88,088006,Ragusa,Modica,86.21,82.23
2021-10-13,88,088007,Ragusa,Monterosso Almo,87.86,83.10
2021-10-13,88,088008,Ragusa,Pozzallo,81.19,76.58
2021-10-13,88,088009,Ragusa,Ragusa,89.24,85.40
2021-10-13,88,088010,Ragusa,Santa Croce Camerina,82.75,76.95
2021-10-13,88,088011,Ragusa,Scicli,80.06,75.55
2021-10-13,88,088012,Ragusa,Vittoria,80.61,74.94
2021-10-13,89,089001,Siracusa,Augusta,77.20,71.50
2021-10-13,89,089002,Siracusa,Avola,80.16,73.84
2021-10-13,89,089003,Siracusa,Buccheri,77.04,73.40
2021-10-13,89,089004,Siracusa,Buscemi,82.93,80.95
2021-10-13,89,089005,Siracusa,Canicattini Bagni,72.03,66.49
2021-10-13,89,089006,Siracusa,Carlentini,73.68,68.73
2021-10-13,89,089007,Siracusa,Cassaro,78.09,73.68
2021-10-13,89,089008,Siracusa,Ferla,72.60,64.51
2021-10-13,89,089009,Siracusa,Floridia,73.47,65.94
2021-10-13,89,089010,Siracusa,Francofonte,68.89,58.96
2021-10-13,89,089011,Siracusa,Lentini,72.11,66.94
2021-10-13,89,089012,Siracusa,Melilli,75.48,68.36
2021-10-13,89,089013,Siracusa,Noto,72.88,67.38
2021-10-13,89,089014,Siracusa,Pachino,82.47,76.90
2021-10-13,89,089015,Siracusa,Palazzolo Acreide,85.51,80.29
2021-10-13,89,089020,Siracusa,Portopalo di Capo Passero,75.18,69.74
2021-10-13,89,089021,Siracusa,Priolo Gargallo,77.44,68.54
2021-10-13,89,089016,Siracusa,Rosolini,81.31,74.74
2021-10-13,89,089017,Siracusa,Siracusa,78.29,72.30
2021-10-13,89,089018,Siracusa,Solarino,71.73,64.75
2021-10-13,89,089019,Siracusa,Sortino,80.52,73.93
2021-10-13,81,081001,Trapani,Alcamo,85.64,81.84
2021-10-13,81,081002,Trapani,Buseto Palizzolo,83.55,78.54
2021-10-13,81,081003,Trapani,Calatafimi-Segesta,87.17,83.84
2021-10-13,81,081004,Trapani,Campobello di Mazara,73.39,67.65
2021-10-13,81,081005,Trapani,Castellammare del Golfo,78.81,74.02
2021-10-13,81,081006,Trapani,Castelvetrano,76.74,71.63
2021-10-13,81,081007,Trapani,Custonaci,74.41,67.67
2021-10-13,81,081008,Trapani,Erice,80.27,74.72
2021-10-13,81,081009,Trapani,Favignana,82.12,77.40
2021-10-13,81,081010,Trapani,Gibellina,85.62,82.08
2021-10-13,81,081011,Trapani,Marsala,82.87,78.16
2021-10-13,81,081012,Trapani,Mazara del Vallo,83.43,78.81
2021-10-13,81,081013,Trapani,Paceco,78.56,73.47
2021-10-13,81,081014,Trapani,Pantelleria,73.88,62.84
2021-10-13,81,081015,Trapani,Partanna,86.31,82.97
2021-10-13,81,081024,Trapani,Petrosino,70.49,66.76
2021-10-13,81,081016,Trapani,Poggioreale,74.75,71.17
2021-10-13,81,081017,Trapani,Salaparuta,81.24,76.28
2021-10-13,81,081018,Trapani,Salemi,82.53,78.14
2021-10-13,81,081020,Trapani,San Vito Lo Capo,72.88,67.24
2021-10-13,81,081019,Trapani,Santa Ninfa,86.55,82.03
2021-10-13,81,081021,Trapani,Trapani,77.58,71.97
2021-10-13,81,081022,Trapani,Valderice,79.33,74.26
2021-10-13,81,081023,Trapani,Vita,85.60,81.97
